FoodNumber	FoodName	FoodCategory	Base	FoodGroupCode	Dilution	Units	Description	Comment	EdiblePortion	WATER	TOTNIT	NCF	PROT	FAT	CHO	KCALS	KJ	ALCO	STAR	TOTSUG	AOAC	GLUC	FRUCT	MALT	LACT	SUCR	OSUG	FREESUG	SATFA	CMON	CN3	CN6	TRANS	CHOL	RET	TOTCAR	ACAR	BCAR	BCRYPT	VITA	VITD	THIA	RIBO	NIACEQU	VITC	VITE	VITB6	VITB12	FOLT	PANTO	BIOT	NA	K	CA	MG	P	FE	HFE	NHFE	CU	ZN	CL	I	MN	SE	Fruit	DriedFruit	FruitJuice	SmoothieFruit	Tomatoes	TomatoPuree	Brassicaceae	YellowRedGreen	Beans	Nuts	OtherVeg	Beef	Lamb	Pork	ProcessRedMeat	OtherRedMeat	Burgers	Sausages	Offal	Poultry	ProcessedPoultry	GameBirds	WhiteFish	OilyFish	CannedTuna	Shellfish	CottageCheese	CheddarCheese	OtherCheese
1527	SPRATS COATED FRIED IN DRIPPING	F	100	35B	1	Grams	 	 	1	36.6	4	6.25	24.9	35	0	415	1718	0	0	0	0	0	0	0	0	0	0	0	13.1	13.67	5	.63	0	137	74	0	0	0	0	74	13	0	.2	7.6	0	.5	.3	9	8	.7	5	240	410	120	46	300	1.4	.6	.8	.11	2.1	340	80	.05	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0
1528	SPRATS FRIED IN LARD	F	100	35B	1	Grams	 	 	1	36.6	4	6.25	24.9	35	0	415	1718	0	0	0	0	0	0	0	0	0	0	0	10.76	14.55	3.83	1.89	0	139	74	0	0	0	0	74	13	0	.2	7.6	0	.5	.3	9	8	.7	5	240	410	120	46	300	1.4	.6	.8	.11	2.1	340	80	.05	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0
1529	SPRATS FRIED IN PUFA OIL	F	100	35B	1	Grams	 	 	1	36.6	4	6.25	24.9	35	0	415	1718	0	0	0	0	0	0	0	0	0	0	0	5.39	10.65	4.14	11.21	0	125	74	0	0	0	0	74	13	0	.2	7.6	0	.5	.3	9	8	.7	5	240	410	120	46	300	1.4	.6	.8	.11	2.1	340	80	.05	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0
1530	TROUT STEAMED FISH ONLY	F	100	35B	1	Grams	 	 	1	73.3	3.4	6.25	21.5	5.4	0	135	565	0	0	0	0	0	0	0	0	0	0	0	1.12	1.98	1.25	.46	0	70	29	0	0	0	0	29	11	.2	.12	8.2	0	1	.3	5	10	1.6	3	55	410	21	26	250	.4	.2	.2	.05	.5	65	15	.01	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0
1531	TROUT STEAMED WEIGHED WITH BONES	F	100	35B	1	Grams	 	 	1	53.5	2.5	6.25	15.7	3.9	0	98	413	0	0	0	0	0	0	0	0	0	0	0	.81	1.43	.9	.33	0	51	21	0	0	0	0	21	8	.15	.09	6	0	.7	.3	4	7	1.1	2	40	300	15	19	180	.3	.1	.2	.04	.4	47	11	.01	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0
1532	TUNA IN OIL FISH AND OIL	R	100	34G	1	Grams	 	Changed food group to 34C NDNS comparison study GS 10/04/07. Food group amended 08/11/10 EF	1	53	3.2	6.25	20.1	26	0	314	1305	0	0	0	0	0	0	0	0	0	0	0	3.07	12.47	1.51	7.59	0	37	21	0	0	0	0	21	.87	0	.09	13	0	6.9	.2	2.7	2	.2	2	291	211	9	28	161	.9	.4	.6	.04	.6	482	12	.01	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0
1533	TUNA CANNED IN SUNFLOWER OIL FISH ONLY	F	100	34G	1	Grams	Sunflower oil. Updated for Yr4 RP - based on fish analy survey sample 48 SKD 25/06/12	Changed food group to 34C NDNS comp study GS 10/4/07. Food group amended 8/11/10 EF.  Name amended 'Sunflower' inserted, macro updated based on analy data fish survey 22.6.11 RS. Upd micro for Yr4 RP-based on fish analy survey sample 48 SD 25/6/12	1	67.1	4.1	6.25	25.4	6.4	0	159	669	0	0	0	0	0	0	0	0	0	0	0	.78	1.64	.18	3.43	0	47	26	0	0	0	0	26	1.1	0	.11	16.5	0	2.8	.3	3.4	3	.2	3	368	267	11	35	204	1.2	.5	.7	.05	.8	610	12	.01	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0
1534	TUNA CANNED IN BRINE FISH ONLY	F	100	34G	1	Grams	Updated for Yr4 RP - based on fish analy survey sample 47 SKD 25/06/12	mw6 668 updated 20/4/05 Changed food group to 34C NDNS comparison study GS 10/04/07. Food group amended 08/11/10 EF. Macro upd based on analytical data fish survey 22.6.11 RS. Updated micro for Yr4 RP - based on fish analy survey sample 47 SD 25/6/12	1	74.3	4	6.25	24.9	1	0	109	460	0	0	0	0	0	0	0	0	0	0	0	.3	.17	.32	.08	0	47	26	0	0	0	0	26	1.1	0	.11	16.5	0	.4	.3	3.4	3	.2	3	293	230	10	27	171	1.5	.6	.9	.07	.9	490	12	.01	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0
1535	WHITEBAIT COATED FRIED IN BLENDED OIL	F	100	35B	1	Grams	 	 	1	23.5	3.1	6.25	19.5	47.5	5.3	525	2174	0	5.2	.1	.3	.1	0	0	0	0	0	0	5.91	21.26	2.67	12.72	.33	125	74	0	0	0	0	74	12.3	0	.2	6.6	0	5.6	.3	9	4	.7	5	230	110	860	50	860	5.1	2	3.1	.11	2.1	330	80	.05	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.45	0	0	0	0	0
1536	WHITEBAIT COATED FLOUR FRIED IN DRIPPING	F	100	35B	1	Grams	 	 	1	23.5	3.1	6.25	19.5	47.5	5.3	525	2174	0	5.2	.1	.3	.1	0	0	0	0	0	0	18.91	18.39	.85	4.3	0	137	74	0	0	0	0	74	12.3	0	.2	6.6	0	.5	.3	9	4	.7	5	230	110	860	50	860	5.1	2	3.1	.1	2.1	330	80	.05	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.45	0	0	0	0	0
1537	WHITEBAIT COATED FLOUR FRIED LARD	F	100	35B	1	Grams	 	 	1	23.5	3.1	6.25	19.5	47.5	5.3	525	2174	0	5.2	.1	.3	.1	0	0	0	0	0	0	15.31	19.75	.49	6.58	0	139	74	0	0	0	0	74	12.3	0	.2	6.6	0	.5	.3	9	4	.7	5	230	110	860	50	860	5.1	2	3.1	.11	2.1	330	80	.05	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.45	0	0	0	0	0
1538	WHITEBAIT COATED FRIED IN PUFA OIL	F	100	35B	1	Grams	 	 	1	23.5	3.1	6.25	19.5	47.5	5.3	525	2174	0	5.2	.1	.3	.1	0	0	0	0	0	0	7.02	13.72	.96	20.96	0	125	74	0	0	0	0	74	12.3	0	.2	6.6	0	5.6	.3	9	4	.7	5	230	110	860	50	860	5.1	2	3.1	.1	2.1	330	80	.05	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.45	0	0	0	0	0
1539	DOGFISH BATTERED FRIED BLENDED OIL NO BONES	F	100	33R	1	Grams	 	 	1	51.3	2.4	6.25	14.7	21.9	10.3	295	1225	0	10.3	0	.5	0	0	0	0	0	0	0	2.72	9.82	2.72	5.42	.2	65	94	0	0	0	0	94	6.83	.07	.08	6	0	2.1	.2	3.7	4	.6	12	160	230	44	18	190	.5	.3	.2	.08	.4	170	80	.14	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.5	0	0	0	0	0	0
1540	DOGFISH BATTERED FRIED IN DRIPPING NO BONES	F	100	33R	1	Grams	 	 	1	51.3	2.4	6.25	14.7	21.9	10.3	295	1225	0	10.3	0	.5	0	0	0	0	0	0	0	9.23	8.5	1.67	1.44	0	74	94	0	0	0	0	94	6.83	.07	.08	6	0	2.1	.2	3.7	4	.6	12	160	230	44	18	190	.5	.3	.2	.08	.4	170	80	.14	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.5	0	0	0	0	0	0
1541	DOGFISH BATTERED NO BONES FRIED IN LARD	F	100	33R	1	Grams	 	 	1	51.3	2.4	6.25	14.7	21.9	10.3	295	1225	0	10.3	0	.5	0	0	0	0	0	0	0	7.49	9.25	1.65	2.43	0	76	94	0	0	0	0	94	6.83	.07	.08	6	0	2.1	.2	3.7	4	.6	12	160	230	44	18	190	.5	.3	.2	.08	.4	170	80	.14	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.5	0	0	0	0	0	0
1542	DOGFISH BATTERED NO BONES FRIED IN PUFA OIL	F	100	33R	1	Grams	 	 	1	51.3	2.4	6.25	14.7	21.9	10.3	295	1225	0	10.3	0	.5	0	0	0	0	0	0	0	3.27	6.13	1.91	9.55	0	65	94	0	0	0	0	94	6.83	.07	.08	6	0	6.9	.2	3.7	4	.6	12	160	230	44	18	190	.5	.3	.2	.08	.4	170	80	.14	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.5	0	0	0	0	0	0
1543	DOGFISH BATTERED NO BONES FRIED COMMERCIAL OIL	F	100	33R	1	Grams	 	 	1	51.3	2.4	6.25	14.7	21.9	10.3	295	1225	0	10.3	0	.5	0	0	0	0	0	0	0	3.45	7.52	2.45	6.34	.94	65	94	0	0	0	0	94	6.83	.07	.08	6	0	2.1	.2	3.7	4	.6	12	160	230	44	18	190	.5	.3	.2	.08	.4	170	80	.14	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.5	0	0	0	0	0	0
1544	DOGFISH BATTERED WITH BONES FRIED BLENDED OIL	F	100	33R	1	Grams	 	 	1	47.7	2.2	6.25	13.7	20.4	9.6	274	1139	0	9.6	0	.5	0	0	0	0	0	0	0	2.53	9.15	2.53	5.05	.18	60	87	0	0	0	0	87	6.35	.07	.07	5.6	0	1.9	.2	3.4	4	.5	11	150	210	41	17	180	.5	.3	.2	.07	.4	160	74	.13	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.5	0	0	0	0	0	0
1545	DOGFISH BATTERED WITH BONES FRIED IN LARD	F	100	33R	1	Grams	 	 	1	47.7	2.2	6.25	13.7	20.4	9.6	274	1139	0	9.6	0	.5	0	0	0	0	0	0	0	6.98	8.62	1.54	2.26	0	69	87	0	0	0	0	87	6.35	.07	.07	5.6	0	1.9	.2	3.4	4	.5	11	150	210	41	17	180	.5	.3	.2	.07	.4	160	74	.13	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.5	0	0	0	0	0	0
1546	DOGFISH BATTERED WITH BONES FRIED IN DRIPPING	F	100	33R	1	Grams	 	 	1	47.7	2.2	6.25	13.7	20.4	9.6	274	1139	0	9.6	0	.5	0	0	0	0	0	0	0	8.6	7.92	1.56	1.35	0	69	87	0	0	0	0	87	6.35	.07	.07	5.6	0	1.9	.2	3.4	4	.5	11	150	210	41	17	180	.5	.3	.2	.07	.4	160	74	.13	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.5	0	0	0	0	0	0
1547	DOGFISH BATTERED WITH BONES FRIED IN PUFA OIL	F	100	33R	1	Grams	 	 	1	47.7	2.2	6.25	13.7	20.4	9.6	274	1139	0	9.6	0	.5	0	0	0	0	0	0	0	3.04	5.71	1.77	8.89	0	60	87	0	0	0	0	87	6.35	.07	.07	5.6	0	6.4	.2	3.4	4	.5	11	150	210	41	17	180	.5	.3	.2	.07	.4	160	74	.13	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.5	0	0	0	0	0	0
1548	DOGFISH BATTERED WITH BONES FRIED COMMERCIAL OIL	F	100	33R	1	Grams	 	 	1	47.7	2.2	6.25	13.7	20.4	9.6	274	1139	0	9.6	0	.5	0	0	0	0	0	0	0	3.22	7	2.28	5.91	.88	60	87	0	0	0	0	87	6.35	.07	.07	5.6	0	1.9	.2	3.4	4	.5	11	150	210	41	17	180	.5	.3	.2	.07	.4	2	74	.13	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.5	0	0	0	0	0	0
1549	SKATE NOBONES FRIED BUTTER	R	100	33R	1	Grams	 	 	1	77.9	2.3	6.26	14.5	3.9	0	93	391	0	0	0	0	0	0	0	0	0	0	0	2.29	.9	.14	.12	.12	53	44	26	0	26	0	48	.04	.09	.16	4.1	0	.5	.3	5.8	11	.2	1	142	193	39	29	173	.5	.2	.3	.02	.5	248	21	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95.69	0	0	0	0	0	0
1550	SKATE FRIED IN BUTTER WITH BONES	R	100	33R	1	Grams	 	 	1	63.9	1.9	5.13	11.9	3.2	0	76	320	0	0	0	0	0	0	0	0	0	0	0	1.88	.74	.12	.1	.1	44	36	21	0	21	0	40	.03	.08	.13	3.4	0	.4	.3	4.7	9	.2	1	117	158	32	24	142	.4	.2	.2	.02	.4	203	17	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0
1551	SKATE WITH BONES IN BATTER FRIED BLENDED VEG OIL	F	100	33R	1	Grams	 	 	1	43.1	2	6.25	12.5	8.6	4.2	143	597	0	4.1	.1	.3	0	0	0	0	.1	0	0	.91	3.1	.88	3.21	.12	45	8	0	0	0	0	8	0	.03	.09	4.3	0	1	.3	5.1	9	.3	1	120	200	43	23	150	.9	.2	.7	.08	.8	140	16	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0
1552	SKATE WITH BONES IN BATTER FRIED IN LARD	F	100	33R	1	Grams	 	 	1	43.1	2	6.25	12.5	8.6	4.2	143	597	0	4.1	.1	.3	0	0	0	0	.1	0	0	3.58	3.85	.05	.73	0	53	8	0	0	0	0	8	0	.03	.09	4.3	0	.5	.3	5.1	9	.3	1	120	200	43	23	150	.9	.2	.8	.08	.8	140	16	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0
1553	SKATE WITH BONES IN BATTER FRIED IN DRIPPING	F	100	33R	1	Grams	 	 	1	43.1	2	6.25	12.5	8.6	4.2	143	597	0	4.1	.1	.3	0	0	0	0	.1	0	0	4.79	3.21	.06	.16	0	52	8	0	0	0	0	8	0	.03	.09	4.3	0	.3	.3	5.1	9	.3	1	120	200	43	23	150	.9	.2	.7	.08	.8	140	16	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0
1554	SKATE WITH BONES IN BATTER FRIED IN PUFA OIL	F	100	33R	1	Grams	 	 	1	43.1	2	6.25	12.5	8.6	4.2	143	597	0	4.1	.1	.3	0	0	0	0	.1	0	0	1.03	1.74	.2	5.24	0	44	8	0	0	0	0	8	0	.03	.09	4.3	0	4.8	.3	5.1	9	.3	1	120	200	43	23	150	.9	.2	.7	.08	.8	140	18	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0
1555	SKATE WITH BONES IN BATTER FRIED COMMERCIAL OIL	F	100	33R	1	Grams	 	 	1	43.1	2	6.25	12.5	8.6	4.2	143	597	0	4.1	.1	.3	0	0	0	0	.1	0	0	1.22	2.86	.5	3.05	.58	45	8	0	0	0	0	8	0	.03	.09	4.3	0	1	.3	5.1	9	.3	1	120	200	43	23	150	.9	.2	.7	.08	.8	140	16	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0
1556	SKATE IN BATTER NOBONE BLENDED	F	100	33R	1	Grams	Updated from recipes database-05/05/17 BA	Updated from recipes database-05/05/17 BA	1	66.4	2.6	6.25	16.3	9.2	4.5	165	689	0	4.2	.3	.3	0	0	0	0	.3	0	0	1.18	4.67	.66	2.05	0	57	8	0	0	0	0	8	.08	.13	.23	5.2	.1	2.3	.4	6.5	13	.4	2	152	278	53	32	192	.6	.2	.5	.03	.6	264	24	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0
1557	SKATE BATTER NOBONES FRY LARD	F	100	33R	1	Grams	Updated from recipes database-05/05/2017	Updated from recipes database-05/05/2017 BA	1	66.5	2.6	6.25	16.3	9.2	4.5	168	702	0	4.2	.3	.3	0	0	0	0	.3	0	0	3.63	3.81	.16	.84	0	64	8	0	0	0	0	8	.08	.13	.23	5.2	.1	.5	.4	6.5	13	.4	2	152	278	53	32	192	.6	.2	.5	.03	.6	265	23	.04	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0
1558	SKATE BATTER NOBONE DRIPPING	F	100	33R	1	Grams	Updated based on recipes database-05-05-2017	Updated based on recipes database-05-05-2017 BA	1	66.5	2.6	6.25	16.3	9.2	4.5	168	702	0	4.2	.3	.3	0	0	0	0	.3	0	0	4.63	3.15	.17	.23	.38	65	8	0	0	0	0	8	.08	.13	.23	5.2	.1	.4	.4	6.5	13	.4	2	153	278	53	32	193	.6	.2	.5	.04	.6	264	23	.04	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0
1559	SKATE BATTER NOBONES FRY PUFA	F	100	33R	1	Grams	Updated based on recipes database-05-05-2017	Updated based on recipes database-05-05-2017 BA	1	66.4	2.6	6.35	16.5	9.2	4.5	166	693	0	4.2	.3	.3	0	0	0	0	.3	0	0	1.38	2.2	.35	4.73	0	57	8	0	0	0	0	8	.08	.13	.23	5.1	.1	2.7	.4	6.5	13	.4	2	140	240	50	27	180	1	.2	.8	.09	.9	170	21	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0
1560	SKATE BATTER NOBONES FRY COMM	F	100	33R	1	Grams	Updated based on recipes database 05-05-2017	Updated based on recipes database 05-05-2017 BA	1	66.4	2.6	6.35	16.5	9.2	4.5	166	693	0	4.2	.3	.3	0	0	0	0	.3	0	0	1.38	2.97	.61	3.06	.57	57	8	0	0	0	0	8	.08	.13	.23	5.2	.1	.4	.4	6.5	13	.4	2	152	278	53	32	192	.6	.2	.5	.03	.6	264	23	.04	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0
1561	CRAB BOILED	F	100	34F	1	Grams	Micronutrients updated for NDNS RPyr4 calculated using data from fish analytical survey sample , RS 21/06/12.	mw6 671 updated 25/04/05.  Macros updated based on calcs from UKfood comp fish survey 22.6.11 RS. MD updated FAs 14/07/11. Micronutrients updated for NDNS RPyr4 calculated using data from fish analytical survey sample 20 + 21, RS 21/06/12.-	1	72.1	3.1	6.25	19.7	4.1	0	115	484	0	0	0	0	0	0	0	0	0	0	0	.76	1.05	.8	.17	.02	169	3	0	0	0	0	3	0	.05	.88	6.2	0	4.7	.2	12.9	13	1.6	9	337	204	226	42	318	1.5	.6	.9	1.72	6.6	515	218	.19	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0
1562	CRAB WEIGHED WITH SHELL	F	100	34F	1	Grams	 	 	1	24.8	1.1	6.25	6.8	1.9	0	45	187	0	0	0	0	0	0	0	0	0	0	0	.24	.53	.38	.17	0	25	0	0	0	0	0	0	0	.02	.3	1.8	0	.4	.1	0	7	.3	3	150	87	10	20	120	.6	.2	.4	.62	1.9	220	35	.06	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0
1563	CRAB CANNED	F	100	34E	1	Grams	 	 	1	79.2	2.9	6.25	18.1	.5	0	77	326	0	0	0	0	0	0	0	0	0	0	0	.06	.14	.1	.05	0	72	0	0	0	0	0	0	0	0	.05	4.5	0	.1	.4	0	20	.9	0	550	100	120	32	140	2.8	1.1	1.7	.42	5.7	830	100	.17	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0
1564	COCKLES BOILED WITHOUT SHELLS	F	100	34F	1	Grams	 	 	1	83	1.9	6.25	12	.6	0	53	226	0	0	0	0	0	0	0	0	0	0	0	.15	.07	.13	.07	0	53	40	0	0	0	0	40	0	.05	.11	3.8	0	1.1	0	47	37	.3	9	490	110	91	46	140	28	11.2	16.8	.38	2.1	750	160	.84	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0
1565	LOBSTER BOILED FLESH ONLY	F	100	34F	1	Grams	 	mw6 673-updated 26/04/05-	1	74.3	3.5	6.25	22.1	1.6	0	103	435	0	0	0	0	0	0	0	0	0	0	0	.19	.31	.48	.11	0	110	0	0	0	0	0	0	0	.08	.05	5.6	0	1.5	.1	3	9	1	7	330	260	62	34	260	.8	.3	.5	1.35	2.5	530	100	.03	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0
1566	LOBSTER BOILED WEIGHED WITH SHELL	F	100	34F	1	Grams	 	 	1	26.7	1.3	6.25	8	.6	0	37	157	0	0	0	0	0	0	0	0	0	0	0	.07	.11	.18	.04	0	40	0	0	0	0	0	0	0	.03	.02	2	0	.5	0	1	3	.4	2	120	94	22	12	93	.3	.1	.2	.49	.9	190	36	.01	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0
1567	MUSSELS RAW	F	100	34F	1	Grams	 	 	1	80.9	1.9	6.25	12.1	1.8	0	65	272	0	0	0	0	0	0	0	0	0	0	0	.36	.26	.51	.11	0	41	54	0	0	0	0	54	0	.02	.35	4.2	0	.7	.1	19	37	.4	7	290	320	38	23	240	5.8	2.3	3.5	.22	2.5	460	140	.19	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0
1568	MUSSELS BOILED	F	100	34F	1	Grams	Micronutrients updated for NDNS RPyr4 using data from fish analytical survey sample 19, RS 21/06/12.Updated on Cooked mussels(Tesco,Sainsburys ASDA,Morrisons,The Big Prawn Company.24.11.16KT	Macronutrients updated based on analytical data -UKfood comp fish survey 22.6.11 RS. MD updated Fatty acids 14/07/11. Micronutrients updated for NDNS RPyr4 using data from fish analytical survey sample 19, RS 21/06/12.	1	75.5	2.5	6.25	15.8	2.2	4.2	99	418	0	4.2	0	0	0	0	0	0	0	0	0	.44	.33	.68	.1	0	45	117	0	0	0	0	117	0	.02	.26	5.6	0	1.7	0	10.6	25	.3	11	399	116	40	50	258	3.3	1.3	2	.17	3.4	700	247	.18	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0
1569	MUSSELS BOILED WEIGHED WITH SHELL	F	100	34F	1	Grams	 	 	1	19.7	.7	6.25	4.5	.7	0	24	102	0	0	0	0	0	0	0	0	0	0	0	.14	.1	.2	.04	0	16	15	0	0	0	0	15	0	.01	.1	1.3	0	.3	0	6	10	.1	2	96	38	14	10	51	1.8	.7	1.1	.06	.6	160	31	.07	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0
1570	OCTOPUS RAW	F	100	34F	1	Grams	 	 	1	82.1	1	18	17.9	1.3	0	83	352	0	0	0	0	0	0	0	0	0	0	0	.29	.16	.34	.11	0	48	5	0	0	0	0	5	0	.07	.07	8.8	0	1.2	.4	3	13	.7	7	110	230	33	28	170	1.2	.5	.7	.4	1.7	280	20	.02	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0
1571	OYSTERS RAW	F	100	34F	1	Grams	 	 	1	85.7	1.7	6.25	10.8	1.3	0	55	232	0	0	0	0	0	0	0	0	0	0	0	.24	.19	.33	.05	0	57	75	0	0	0	0	75	1	.15	.19	4.1	0	.9	.2	17	7	.4	10	510	260	140	42	210	5.7	2.3	3.4	7.5	59.2	820	60	.33	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0
1572	OYSTERS RAW WEIGHED WITH SHELL	F	100	34F	1	Grams	 	 	1	12	.2	6.25	1.5	.2	0	8	33	0	0	0	0	0	0	0	0	0	0	0	.04	.03	.05	.01	0	8	11	0	0	0	0	11	.1	.02	.03	.6	0	.1	0	2	1	.1	1	71	36	19	6	30	.8	.3	.5	1.05	8.3	110	8	.05	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0
1573	PRAWNS BOILED FLESH ONLY	F	100	34F	1	Grams	Micronutrients updated for NDNS RPyr4 calculated using data from fish analytical survey samples 15&18, RS 21/06/12.	Macronutrients updated based on calculations from raw analytical data -UKfood comp fish survey 22.6.11 RS. Micronutrients updated for NDNS RPyr4 calculated using data from fish analytical survey samples 15&18 RS 21/06/12.	1	83.2	2.5	6.25	15.8	.7	0	69	293	0	0	0	0	0	0	0	0	0	0	0	.12	.12	.14	.04	0	152	0	0	0	0	0	0	0	0	.05	3.6	0	2.6	0	1.9	10	.2	4	616	70	57	29	126	.6	.3	.4	.26	1	755	13	.03	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0
1574	PRAWNS BOILED WEIGHED WITH SHELLS	F	100	34F	1	Grams	 	 	1	26.6	1.4	6.25	8.6	.3	0	37	159	0	0	0	0	0	0	0	0	0	0	0	.07	.08	.05	.01	0	105	0	0	0	0	0	0	0	.01	.05	1.9	0	1.1	0	3	5	.1	0	600	99	43	19	100	.4	.2	.2	.08	.8	870	11	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0
1575	PRAWNS CANNED DRAINED	F	100	34E	1	Grams	Micronutrients updated for NDNS RPyr4 calculated using data from fish analytical survey samples 15&18, RS 21/06/12.	Macronutrients updated based on calculations from raw analytical data -UKfood comp fish survey 22.6.11 RS. Micronutrients updated for NDNS RPyr4 calculated using data from fish analytical survey samples 15&18, RS 21/06/12.	1	83.2	2.5	6.25	15.8	.7	0	69	293	0	0	0	0	0	0	0	0	0	0	0	.12	.12	.14	.04	0	152	0	0	0	0	0	0	0	0	.05	3.6	0	2.6	0	1.9	10	.2	4	400	70	57	29	126	.6	.3	.4	.26	1	640	13	.03	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0
