FoodNumber	FoodGroupCode	FoodName	FoodCategory	Base	Units	Description	Dilution	Comment	EdiblePortion	ACAR	ALCO	BCAR	BCRYPT	BIOT	CA	CHO	CHOL	CL	CMON	CN3	CN6	CU	ENGFIB	FAT	FE	FOLT	FRUCT	GLUC	HFE	I	K	KCALS	KJ	LACT	MALT	MG	MILK	MN	NA	NCF	NHFE	NIACEQU	NMILK	OSUG	P	PANTO	PROT	RET	RIBO	SATFA	SE	STAR	SUCR	THIA	TOTCAR	TOTNIT	TOTSUG	TRANS	VITA	VITB12	VITB6	VITC	VITD	VITE	WATER	ZN	Fruit	DriedFruit	FruitJuice	SmoothieFruit	Tomatoes	TomatoPuree	Brassicaceae	YellowRedGreen	Beans	Nuts	OtherVeg	Beef	Lamb	Pork	ProcessRedMeat	OtherRedMeat	Burgers	Sausages	Offal	Poultry	ProcessedPoultry	GameBirds	WhiteFish	OilyFish	CannedTuna	Shellfish	CottageCheese	CheddarCheese	OtherCheese
786	16D	EGG WHITE ONLY BOILED	R	100	Grams	 	1	 	1	0	0	0	0	7	5	0	0	170	0	0	0	.02	0	0	.1	12	0	0	0	3	150	36	153	0	0	11	0	0	190	6.25	.1	2.7	0	0	33	.3	9	0	.41	0	6	0	0	.01	0	1.4	0	0	0	.1	0	0	0	0	88.3	.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
801	16C	CHEESE AND EGG FLAN	F	100	Grams	 	1	 	1	0	0	100	0	7	260	17.3	140	530	6.97	.17	1.34	.06	.6	22.2	1	13	.1	.1	0	31	120	314	1310	1.3	0	17	1.6	.1	340	6.25	1	3.5	0	0	220	.5	12.5	185	.23	10.3	5	15.7	.1	.08	100	2	1.6	1.72	202	1	.1	0	.93	.9	46.7	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.35	0
802	39B	CHEESE AND POTATO PIE	R	100	Grams	 	1	 	1	0	0	47	0	3	91	12.3	55	276	2.35	.17	1.03	.1	.8	8	.5	19	.1	.1	0	18	234	138	577	1	0	15	1.5	.07	175	6.76	.5	1.6	0	0	97	.5	4.9	79	.12	3.52	2	10.8	.3	.13	47	.8	1.5	.18	87	.5	.2	4.4	.51	.4	73.6	.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.47	0
813	16D	QUICHE LORRAINE NOT WHOLEMEAL	R	100	Grams	 	1	 	1	0	0	84	0	7	223	23.1	141	1001	9.46	.39	3.05	.19	.9	27.4	1.1	17	0	0	.1	30	211	394	1645	1.8	0	22	1.9	.19	717	8.65	1	5.4	0	0	237	.8	15.4	161	.27	11.67	6	21.2	.1	.23	84	2.5	1.9	.4	175	1.4	.2	.4	1.03	.9	32.6	1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.16	0	0	0	0	0	0	0	0	0	0	0	0	14.16	0
814	16C	SCOTCH EGG	F	100	Grams	 	1	mw6 560  updated 25/04/05	1	0	0	0	0	9	50	13.1	165	980	6.6	.37	2.24	.23	.2	16	1.8	42	0	0	.3	17	130	241	1006	0	0	15	0	.2	670	6.25	1.5	3.9	0	0	170	1.1	12	30	.21	4.3	5	13.1	0	.08	0	1.9	0	.23	30	.9	.1	0	.74	.5	54	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0
815	16D	CHEESE SOUFFLE	R	100	Grams	 	1	 	1	0	0	198	0	9	215	9.4	187	650	5.82	.36	2.39	.16	.4	19.2	1.1	18	.1	.1	0	40	154	253	1055	2.1	0	18	2.3	.13	443	7.39	1.1	3.3	0	0	216	.8	11.4	205	.31	8.17	6	7.1	0	.06	198	1.8	2.3	.41	238	1.6	.1	.5	1.39	1	58.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.07	0
816	16D	PLAIN SOUFFLE	R	100	Grams	 	1	 	1	0	0	84	0	9	92	10.3	191	343	4.81	.35	2.53	.05	.3	14.4	1	14	0	0	0	38	148	199	830	2.3	0	12	2.3	.07	235	6.96	1	2.2	0	0	140	.8	7.6	158	.27	4.84	5	8	0	.07	84	1.2	2.3	.17	172	1.4	.1	.5	1.5	1	66.8	.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
817	1R	WELSH RAREBIT ON WHITE TOAST	R	100	Grams	 	1	 	1	0	0	61	0	3	411	29.1	42	1504	3.89	.15	.55	.32	.9	16.1	1	26	.1	.1	0	20	136	316	1327	.8	1.8	27	2.8	.26	979	6.6	1	4.8	0	0	270	.5	15.5	154	.23	9.47	6	26.3	0	.15	61	2.5	2.8	.61	164	1.1	.1	.2	.12	.3	35.3	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.61	0
818	14R	WELSH RAREBIT (NO TOAST)	R	100	Grams	 	1	 	1	0	0	96	0	3	507	5.4	65	1437	5.57	.15	.37	.41	0	23.2	.3	22	.1	.1	0	29	112	298	1240	1.4	0	25	1.7	.1	963	6.37	.3	4.7	0	0	350	.5	17.2	239	.32	14.41	4	3.8	0	.03	96	2.7	1.7	.93	255	1.7	.1	.6	.19	.5	51	2.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.89	0
819	1E	MACARONI CHEESE NOT CANNED	R	100	Grams	 	1	 	1	0	0	44	0	2	174	17.8	30	461	2.93	.15	.57	.17	1.2	9.8	.4	10	0	0	0	21	109	185	776	2.2	.2	19	2.5	.17	287	6.72	.4	2.4	0	0	151	.4	7.4	92	.17	5.08	4	15.3	0	.02	44	1.2	2.5	.27	99	.7	.1	.5	.31	.6	62.4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.6	0
820	14R	TOAST TOPPERS CANNED	R	100	Grams	 	1	 	1	0	0	78	0	4	263	6.8	52	842	3.7	.22	1.07	.1	.1	14.3	.4	10	0	.1	.1	27	190	200	837	3.4	0	19	3.4	.04	672	7.08	.3	3.9	.1	0	296	.6	11.6	132	.24	7.74	4	3.2	.1	.17	78	1.8	3.5	.45	145	1	.2	.6	.49	.4	64.4	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.67	0	0	0	0	0	0	0	0	0	0	0	0	10.2	16.7
821	1R	CHEESE & ONION PASTY PURCHASED	R	100	Grams	 	1	 	1	0	0	14	0	2	109	31.7	7	662	8.47	.44	3.24	.08	1.7	28.6	.9	8	.1	.1	0	7	133	403	1681	.8	.3	15	2.4	.29	438	7.36	.9	2.1	0	.1	138	.2	6.8	29	.05	14.47	1	29.2	1	.12	14	1	2.4	.23	31	.1	.1	1.5	.02	1.1	30.3	.6	0	0	0	0	0	0	0	0	0	0	11.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.11
851	17R	BUTTER SALTED	F	100	Grams	 	1	Nutrient analysis of other milk and creams, LGC 98, aver samp 40, 43, 46, to updat code 851	1	0	0	597	0	0	18	.7	222	994	18.3	.69	1.46	.01	0	81.8	0	0	0	0	0	38	29	741	3048	.7	0	2	.7	0	606	6.38	0	.1	0	0	23	.1	.6	810	.07	52.93	0	0	0	0	597	.1	.7	3.05	910	.3	0	0	.87	1.9	14.9	.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
852	17R	BUTTER UNSALTED	F	100	Grams	 	1	Nutrient analysis of other milks and creams, LGC, 98, aver of samp 42, 45, 47 to update code 852	1	0	0	581	0	0	18	.6	231	18	18.86	.59	1.58	.01	0	82.6	0	0	0	0	0	38	27	748	3075	.6	0	2	.6	0	8	6.38	0	.1	0	0	23	.1	.7	1056	.07	53.31	0	0	0	0	581	.1	.6	2.75	1153	.3	0	0	.9	2	14.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
854	20C	COMPOUND COOKING FAT NOT PUFA	F	100	Grams	RP update based on manufacturers' data (Cookeen, Pura, Trex).	1	Code revised for ndb update GS.  M&W6 369.  Data entry 5/4/01 MF.  NDNS RP Yr 1 update GH. Amended fats and energy.	1	0	0	0	0	0	0	0	425	0	40.67	.68	12.98	0	0	100	0	0	0	0	0	0	0	900	3700	0	0	0	0	0	0	6.25	0	0	0	0	0	0	0	0	0	40.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
855	20C	DRIPPING BEEF FAT	F	100	Grams	 	1	NDNS RP Yr 1 update GH. Amended fatty acids and cholesterol in line with M&W6.	1	0	0	0	0	0	1	0	94	2	35.22	.6	1.63	.08	0	99	.2	0	0	0	0	6	4	891	3663	0	0	0	0	0	5	6.25	.2	0	0	0	13	0	0	0	0	52.43	0	0	0	0	0	0	0	4.4	0	0	0	0	0	.3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
856	17R	GHEE MADE FROM BUTTER	F	100	Grams	 	1	 	1	0	0	500	0	0	0	0	280	28	20.92	.88	1.28	0	0	99.8	.2	0	0	0	0	38	3	898	3693	0	0	0	0	0	2	6.38	.2	0	0	0	0	0	0	675	0	66	0	0	0	0	500	0	0	4.42	758	0	0	0	1.9	3.3	.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
857	20C	GHEE MADE FROM VEG OIL	F	100	Grams	 	1	Code revised for ndb update GS.  M&W6 372, FA Supp 167.  Data entry 5/4/01 MF.	1	0	0	0	0	0	0	0	0	0	36.3	.19	9.12	.14	0	99.4	0	0	0	0	0	11	1	895	3678	0	0	0	0	0	1	6.25	0	0	0	0	0	0	0	0	0	48.37	0	0	0	0	0	0	0	1.05	0	0	0	0	0	10.3	.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
858	20C	LARD PORK FAT	F	100	Grams	 	1	Code revised for ndb update 5/4/01 GS.  M&W6 373 FA supp 168. Data entry 5/4/01 MF.	1	0	0	0	0	0	1	0	93	4	42.99	.51	8.88	.02	0	99	.1	0	0	0	0	0	1	891	3663	0	0	1	0	0	2	6.25	.1	0	0	0	3	0	0	0	0	40.6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
860	20A	HARD BLOCK MARGARINES AND FATS (75-90% FAT)	F	100	Grams	RP update based on manufacturers' data; six products.	1	Code revised for ndb update 5/4/01 MF.  M&W6 356.  NDNS RP Yr 1 update GH. Amended name, water, protein, fat, CHO, energy, sugars, fatty acids, NaCl.	1	0	0	750	0	0	4	.3	285	1020	26.2	3.13	18.32	.04	0	78.7	.3	0	0	0	0	23	5	710	2920	.3	0	1	.3	0	800	6.25	.3	0	0	0	12	0	.2	665	0	23.13	0	0	0	0	750	0	.3	.9	790	0	0	0	7.9	4.4	20.8	.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
862	20A	HARD MARGARINE UNSPECIFIED/RECIPES	F	100	Grams	 	1	Code revised for ndb update GS.  Same as NDNS code 860 (M&W6 356).  Data entry 5/4/01 MF.  NDNS RP Yr 1 update GH. Amended fatty acids, NaCl.	1	0	0	750	0	0	4	1	285	1020	28.84	.94	5.53	.04	0	79.3	.3	0	0	0	0	23	5	718	2954	1	0	1	1	0	800	6.25	.3	0	0	0	12	0	.2	665	0	34.6	0	0	0	0	750	0	1	.9	790	0	0	0	7.9	4.4	16	.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
864	20B	SOFT MARGARINE NOT PUFA NOT LOW FAT	F	100	Grams	 	1	Code revised for ndb update 5/4/01 MF. M&W6 358.  NDNS RP Yr 1 update GH. March 08   Amended fatty acids, NaCl.	1	0	0	445	0	0	4	1	275	1200	37.11	2.91	11.3	.04	0	81.7	.3	0	0	0	0	27	5	740	3042	1	0	1	1	0	800	6.25	.3	0	0	0	12	0	.2	745	0	23.88	0	0	0	0	445	0	1	.9	819	0	0	0	7.8	12.3	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
865	18A	SOFT MARGARINE POLYUNSATURATED NOT LOW FAT	F	100	Grams	 	1	Code revised for ndb update 5/4/01 MF. M&W6 359.  NDNS RP Yr 1 update GH. Amended fatty acids.	1	0	0	350	0	0	4	.2	2	1020	22.84	3.95	34.15	.04	0	82.8	.3	0	0	0	0	27	5	746	3067	.2	0	1	.2	0	680	6.25	.3	0	0	0	12	0	0	675	0	17	0	0	0	0	350	0	.2	.9	733	0	0	0	7.9	32.6	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
867	20C	RED PALM OIL	F	100	Grams	 	1	 	1	24000	0	30000	0	0	0	0	0	0	41.6	.3	8	0	0	99.9	0	0	0	0	0	11	0	899	3696	0	0	0	0	0	0	6.25	0	0	0	0	0	0	0	0	0	45.3	0	0	0	0	42000	0	0	0	7000	0	0	0	0	33.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
868	20C	SUET-BLOCK	F	100	Grams	 	1	 	1	0	0	73	0	0	6	0	60	18	34.7	.5	2	.04	0	99	.4	0	0	0	0	6	13	895	3678	0	0	1	0	0	21	6.25	.4	.2	0	0	7	0	.9	52	0	57	0	0	0	0	73	.1	0	0	64	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
869	20C	SUET SHREDDED	F	100	Grams	 	1	Code revised for ndb update GS.  M&W6 374 FA supp 169.  Data entry 5/4/01 MF.  NDNS RP Yr 1 update GH. Amended fatty acids.	1	0	0	73	0	0	0	12.1	82	0	28.7	.54	1.16	0	.5	86.7	0	0	0	0	0	5	0	826	3402	0	.1	0	.2	0	0	6.25	0	0	0	0	0	0	0	52	0	48.33	0	11.9	.1	0	73	0	.2	4	64	0	0	0	0	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
870	18B	VEGETABLE OIL CORN OIL/GROUNDNUT (PEANUT) OIL	F	100	Grams	 	1	Code revised for ndb update GS 5/4/01.  M&W6 378 and 382.  Data entry 5/4/01 MF.	1	0	0	0	0	0	0	0	0	0	37.15	.45	40.7	.01	0	99.9	.1	0	0	0	0	0	0	899	3696	0	0	0	0	0	0	6.25	.1	0	0	0	0	0	0	0	0	17.25	0	0	0	0	0	0	0	0	0	0	0	0	0	16.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
871	20C	BLENDED VEGETABLE OIL	F	100	Grams	 	1	Code revised for ndb update GS 5/4/01.  M&W6 388.  FA supp 205.  Data entry 5/4/01 MF.  updated 26/04/05	1	0	0	0	0	0	0	0	0	0	53.2	6.5	23.26	0	0	99.9	0	0	0	0	0	11	0	899	3696	0	0	0	0	0	0	6.25	0	0	0	0	0	0	0	0	0	11.67	0	0	0	0	0	0	0	0	0	0	0	0	0	22.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
872	20C	BLENDED VEGETABLE OIL CRISP 'N' DRY	F	100	Grams	 	1	NDNS RP Yr 1 update GH. Amended fatty acids.	1	0	0	0	0	0	0	0	0	0	29.11	6.54	44.37	0	0	99.9	0	0	0	0	0	11	0	899	3696	0	0	0	0	0	0	6.25	0	0	0	0	0	0	0	0	0	15.2	0	0	0	0	0	0	0	0	0	0	0	0	0	19.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
873	18B	VEGETABLE OIL POLYUNSATURATED EG SUNFLOWER	F	100	Grams	 	1	Code revised for ndb update GS.  M&W6 387 and FA supp 202.  Data entry 5/4/01 MF.	1	0	0	0	0	0	0	0	0	0	23.87	2.77	55.03	.01	0	99.9	.1	0	0	0	0	0	0	899	3696	0	0	0	0	0	0	6.25	.1	0	0	0	0	0	0	0	0	14.03	0	0	0	0	0	0	0	0	0	0	0	0	0	27.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
874	20C	OLIVE OIL	F	100	Grams	 	1	Code revised (fatty acids) for ndb update 5/4/01 GS.  M&W6 380, FA supp 195.  Data entry 5/04/01 MF.  NDNS RP Yr 1 update GH. Amended iodine.	1	0	0	0	0	0	0	0	0	0	73	.7	7.5	0	0	99.9	.4	0	0	0	0	0	0	899	3696	0	0	0	0	0	0	6.25	.4	0	0	0	0	0	0	0	0	14.3	0	0	0	0	0	0	0	0	0	0	0	0	0	5.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
875	20C	COMMERCIAL BLENDED OIL	F	100	Grams	 	1	 	1	0	0	0	0	0	0	0	7	0	33	5.8	35.2	0	0	99.9	0	0	0	0	0	0	0	899	3696	0	0	0	0	0	0	6.25	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	6.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
876	20C	CHICKEN FAT	F	100	Grams	 	1	 	1	0	0	0	0	0	1	0	93	4	44.39	2.84	16.94	.02	0	99	.1	0	0	0	0	0	1	891	3663	0	0	1	0	0	2	6.25	.1	0	0	0	3	0	0	0	0	29.62	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901	22B	BACON COLLAR JOINT BOILED LEAN AND FAT	F	100	Grams	 	1	 	1	0	0	0	0	2	9	0	83	2635	5.34	.25	1.67	.1	0	12.3	.8	1	0	0	.3	9	245	204	851	0	0	18	0	.01	1175	6.25	.5	9.3	0	0	165	1.4	23.3	0	.16	4.12	12	0	0	.58	0	3.7	0	.03	0	.4	.4	0	.75	.1	61.2	2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
902	22B	BACON COLLAR JOINT RAW LEAN & FAT	F	100	Grams	 	1	 	1	0	0	0	0	2	7	0	28	1980	3.24	.15	1.02	.08	0	7.5	.6	3	0	0	.2	7	185	138	575	0	0	17	0	.01	880	6.25	.4	8.2	0	0	125	1.1	17.5	0	.13	2.5	11	0	0	.44	0	2.8	0	.02	0	.3	.4	0	.6	.1	68.6	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
903	22B	BACON GAMMON JOINT BOILED LEAN AND FAT	F	100	Grams	 	1	 	1	0	0	0	0	2	9	0	83	2635	5.34	.25	1.67	.1	0	12.3	.8	1	0	0	.3	9	245	204	851	0	0	18	0	.01	1175	6.25	.5	9.3	0	0	165	1.4	23.3	0	.16	4.12	12	0	0	.58	0	3.7	0	.03	0	.4	.4	0	.75	.1	61.2	2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
904	22B	BACON GAMMON JOINT BOILED LEAN ONLY	F	100	Grams	 	1	 	1	0	0	0	0	2	9	0	32	2635	1.5	.07	.47	.1	0	3.6	.8	1	0	0	.3	9	245	143	604	0	0	18	0	.01	1175	6.25	.5	9.3	0	0	165	1.4	27.7	0	.16	1.15	12	0	0	.58	0	4.4	0	.01	0	.4	.4	0	.75	0	71.2	2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
905	22B	BACON GAMMON JOINT RAW LEAN & FAT	F	100	Grams	 	1	 	1	0	0	0	0	2	7	0	28	1980	3.24	.15	1.02	.08	0	7.5	.6	3	0	0	.2	7	185	138	575	0	0	17	0	.01	880	6.25	.4	8.2	0	0	125	1.1	17.5	0	.13	2.5	11	0	0	.44	0	2.8	0	.02	0	.3	.4	0	.6	.1	68.6	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
906	22B	BACON GAMMON RASHERS GRILLED LEAN AND FAT	F	100	Grams	 	1	 	1	0	0	0	0	5	8	0	83	2675	4	.2	1.47	.09	0	9.9	.8	2	0	0	.3	8	380	199	834	0	0	26	0	.02	1925	6.25	.5	11.5	0	0	230	1.4	27.5	0	.18	3.43	14	0	0	1.16	0	4.4	0	.06	0	1.4	.2	0	.75	.1	58.2	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
907	22B	BACON GAMMON RASHERS GRILLED LEAN ONLY	F	100	Grams	 	1	 	1	0	0	0	0	5	8	0	35	2675	1.66	.08	.61	.09	0	4.2	.8	2	0	0	.3	8	380	155	653	0	0	26	0	.02	1925	6.25	.5	11.5	0	0	230	1.4	29.3	0	.18	1.42	14	0	0	1.16	0	4.7	0	.02	0	1.4	.2	0	.75	0	63.7	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
908	22B	RASHERS CUT UNSPEC NOT SMOKED GRILLED LEAN AND FAT	F	100	Grams	 	1	Code updated for NDNS rolling prog pilot study.  30/11/06 NK.	1	0	0	0	0	4	8	0	80	1830	9.58	.34	2.65	.07	0	22.9	.7	3	0	0	.3	7	340	301	1249	0	0	21	0	.01	1490	6.25	.4	11.3	0	0	190	1.2	23.7	0	.16	8.47	12	0	0	.77	0	3.8	0	.11	0	.6	.8	0	.59	.1	48.7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
909	22B	BACON RASHERS FRIED LEAN AND FAT	F	100	Grams	 	1	Code updated for NDNS rolling prog pilot study.  30/11/06 NK.	1	0	0	0	0	5	9	0	90	1840	11.39	.49	4.13	.07	0	27.5	.7	1	0	0	.3	7	347	343	1421	0	0	21	0	.01	1490	6.25	.4	11.5	0	0	190	1.2	23.6	0	.14	9.41	18	0	0	.7	0	3.8	0	.12	0	.9	.5	0	.6	.1	44.3	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
910	22B	BACON RASHERS BACK FRIED LEAN AND FAT	F	100	Grams	 	1	Code updated for NDNS rolling prog pilot study.  30/11/06 NK.	1	0	0	0	0	4	7	0	75	2320	10.87	.37	2.99	.05	0	26.9	.6	0	0	0	.2	7	350	332	1376	0	0	21	0	.01	1520	6.25	.4	11.1	0	0	180	1.2	22.4	0	.15	9.86	18	0	0	1.01	0	3.6	0	.11	0	.5	.5	0	.57	.1	45.6	1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
911	22B	BACON RASHERS MIDDLE FRIED LEAN AND FAT	F	100	Grams	 	1	 	1	0	0	0	0	5	10	0	84	2275	11.79	.51	4.28	.07	0	28.5	.7	1	0	0	.3	7	345	350	1452	0	0	20	0	.01	1840	6.25	.4	11.6	0	0	205	1.2	23.4	0	.14	9.73	12	0	0	.64	0	3.7	0	.12	0	1	.5	0	.6	.1	43.6	2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
912	22B	BACON RASHERS STREAKY FRIED LEAN AND FAT	F	100	Grams	 	1	 	1	0	0	0	0	5	7	0	96	2316	10.99	.47	3.99	.07	0	26.6	.7	8	0	0	.3	7	350	335	1389	0	0	21	0	.01	1875	6.25	.4	11.5	0	0	195	1.2	23.8	0	.14	9.08	10	0	0	.75	0	3.8	0	.12	0	.8	.5	0	.6	.1	45.1	2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
913	22B	RASHERS ANY OTHER CUT GRILLED LEAN AND FAT	F	100	Grams	 	1	 	1	0	0	0	0	6	8	0	83	2050	9.83	.38	2.65	.07	0	23.1	.7	1	0	0	.3	8	345	307	1276	0	0	21	0	.01	1960	6.25	.4	12.6	0	0	220	1.3	24.8	0	.17	8.37	12	0	0	.77	0	4	0	.15	0	.6	1.6	0	.6	.1	47.8	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
914	22B	BACON RASHERS BACK GRILLED LEAN AND FAT	F	100	Grams	 	1	Code updated for NDNS rolling prog pilot study.  30/11/06 NK.	1	0	0	0	0	4	7	0	74	2320	9.05	.31	2.49	.05	0	21.8	.6	0	0	0	.2	7	350	291	1210	0	0	21	0	.01	1520	6.25	.4	11.1	0	0	180	1.2	23.7	0	.15	8.21	12	0	0	1.01	0	3.8	0	.09	0	.5	.5	0	.57	.1	50	1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
915	22B	BACON RASHERS MIDDLE GRILLED LEAN & FAT	F	100	Grams	 	1	 	1	0	0	0	0	6	8	0	83	2050	9.83	.38	2.65	.07	0	23.1	.7	1	0	0	.3	8	345	307	1276	0	0	21	0	.01	1960	6.25	.4	12.6	0	0	220	1.3	24.8	0	.17	8.37	11	0	0	.77	0	4	0	.15	0	.6	1.6	0	.6	.1	47.8	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
916	22B	BACON RASHERS STREAKY GRILLED LEAN AND FAT	F	100	Grams	 	1	 	1	0	0	0	0	4	9	0	90	2625	11.34	.39	3.29	.15	0	26.9	.8	8	0	0	.3	6	330	337	1400	0	0	20	0	.01	1675	6.25	.5	10.6	0	0	180	1.2	23.8	0	.17	9.78	11	0	0	.71	0	3.8	0	.1	0	.8	.4	0	.7	.1	44	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
917	22B	BACON RASHERS BACK RAW LEAN AND FAT	F	100	Grams	 	1	Code updated for NDNS rolling prog pilot study.  30/11/06 NK.	1	0	0	0	0	2	5	0	53	1890	6.85	.24	2	.06	0	16.5	.4	3	0	0	.2	5	295	215	891	0	0	17	0	.01	1230	6.25	.2	8.2	0	0	150	1	16.5	0	.11	6.17	8	0	0	.63	0	2.6	0	.08	0	.3	.5	1	.3	0	63.9	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
