"Marine Scotland Site ID","Date Registered","Site Name","National Grid Reference","Local Authority","Producing in Last 3 Years","Site Address 1","Site Address 2","Site Address 3","Site Post Code","Site Contact Number","Aquaculture Type","Water Type","Health Surveillance","Easting","Northing","MS Management Area","Region","Operator","Species"
"FS1035","07-Mar-2002","East Isles","HU602659","Shetland","No","N/A","","","","","Fish","Seawater","","460200","1165900","","Shetland","Scottish Sea Farms Ltd","N/A, Atlantic Salmon"
"FS0905","14-Aug-1997","East Kallee Ness","HU392352","Shetland","No","N/A","","","","","Fish","Seawater","Medium","439200","1135200","","Shetland","NAFC Marine Centre","Atlantic Salmon, N/A"
"SS0641","09-May-2001","East Linga","HU359640","Shetland","Yes","Sparl","Brae","","ZE2 9QJ","","Shellfish","Seawater","High","435900","1164000","4a - South St Magnus Bay","Shetland","Blueshell Mussels Ltd","N/A, Common mussel"
"FS1357","16-Feb-2023","East Moclett","HY527485","Orkney","New","N/A","","","","","Fish","Seawater","Medium","352700","1048500","8a - Westray","Orkney","Cooke Aquaculture Scotland Ltd","Atlantic Salmon, N/A"
"SS0563","23-Apr-1998","East Of Linga (Vaila Sound)","HU242480","Shetland","Yes","Vadlure","Walls","","ZE2 9PF","","Shellfish","Seawater","High","424200","1148000","3b - Gruting, Vaila, Walls","Shetland","Shetland Mussels Ltd","N/A, Common mussel"
"FS1010","05-Dec-2000","East Tarbert Bay","NR672531","Argyll and Bute","Yes","Highfield","Argyll","Argyll","PA41 7AA","","Fish","Seawater","Medium","167200","653100","18b - Gigha","Strathclyde","Bakkafrost Scotland","N/A, Lumpsucker, Wrasse, Atlantic Salmon"
"SS0822","13-Sep-2010","East Tarbert Bay","NR657522","Argyll and Bute","Yes","Gallochoille","Argyll","Argyll","PA41 7AD","","Shellfish","Seawater","Low","165700","652200","18b - Gigha","Strathclyde","Gigha Oysters","Pacific Oyster, N/A"
"SS0721","21-Sep-2004","East Torsa","NM766126","Argyll and Bute","No","N/A","","","","","Shellfish","Seawater","","176600","712600","","Strathclyde","J MacGregor and Sons","Common mussel, N/A"
"FS0333","20-Oct-1986","East Voe Laxfirth","HU449482","Shetland","No","N/A","","","","","Fish","Seawater","Medium","444900","1148200","2b - SE Shetland mainland","Shetland","Scottish Sea Farms Ltd","Atlantic Salmon, Lumpsucker, N/A"
"SS0886","24-Nov-2014","East of Brunt Hamersland","HU448522","Shetland","Yes","Sparl","Brae","","ZE2 9QJ","","Shellfish","Seawater","Medium","444800","1152200","2b - SE Shetland mainland","Shetland","Blueshell Mussels Ltd","Common mussel, N/A"
"SS0617","19-Dec-2000","East of Burki Taing","HU318627","Shetland","Yes","Vementry","Aith, Bixter","","ZE2 9ND","","Shellfish","Seawater","Medium","431800","1162700","4a - South St Magnus Bay","Shetland","Vementry Aquaculture","Common mussel, N/A"
"SS0837","23-Nov-2011","East of Burwick","HU391402","Shetland","Yes","Vadlure","Walls","","ZE2 9PF","","Shellfish","Seawater","Medium","439100","1140200","3a - SW Shetland mainland","Shetland","Shetland Mussels Ltd","Common mussel, N/A"
"FS0673","16-Sep-1991","East of Hildasay","HU363402","Shetland","No","c/o Blackness Pier","Scalloway","","ZE1 0TQ","","Fish","Seawater","Medium","436300","1140200","3a - SW Shetland mainland","Shetland","Scottish Sea Farms Ltd","Wrasse, Lumpsucker, Atlantic Salmon, N/A"
"FS0960","17-Jun-1999","East of Holm Heogland (Burkwell)","HU584993","Shetland","Yes","Uyeasound","Unst","","ZE2 9DL","","Fish","Seawater","Low","458400","1199300","1b - S Unst, E Yell, Fetlar","Shetland","Cooke Aquaculture Scotland Ltd","Atlantic Salmon, Lumpsucker, N/A"
"SS0928","19-Aug-2019","East of Houss Ness","HU377294","Shetland","Yes","Sparl","Brae","","ZE2 9QJ","","Shellfish","Seawater","Medium","437700","1129400","3a - SW Shetland mainland","Shetland","Blueshell Mussels Ltd","N/A, Common mussel"
"SS0885","24-Nov-2014","East of Little Holm","HU456527","Shetland","Yes","Sparl","Brae","","ZE2 9QJ","","Shellfish","Seawater","Medium","445600","1152700","2b - SE Shetland mainland","Shetland","Blueshell Mussels Ltd","Common mussel, N/A"
"SS0887","24-Nov-2014","East of Little Ness","HU477610","Shetland","Yes","Sparl","Brae","","ZE2 9QJ","","Shellfish","Seawater","Medium","447700","1161000","2a - Vidlin Voe, Dury Voe, W Whalsay","Shetland","Blueshell Mussels Ltd","N/A, Common mussel"
"FS1278","17-Sep-2013","East of Papa Little","HU342624","Shetland","Yes","Gremista","Lerwick","","ZE1 0PX","","Fish","Seawater","Medium","434200","1162400","4a - South St Magnus Bay","Shetland","Scottish Sea Farms Ltd","Atlantic Salmon, N/A, Lumpsucker"
"SS0919","13-Jun-2018","East of Stucko","HU291772","Shetland","Yes","Sparl","Brae","","ZE2 9QJ","","Shellfish","Seawater","Medium","429100","1177200","4c - N St Magnus Bay","Shetland","Blueshell Mussels Ltd","N/A, Common mussel"
"SS0731","21-Dec-2004","Easter Hogaland","HU392335","Shetland","Yes","c/o Blueshell Mussels Ltd","Sparl, Brae","","ZE2 9QJ","","Shellfish","Seawater","Medium","439200","1133500","3a - SW Shetland mainland","Shetland","SI Seafarms Ltd","Common mussel, N/A"
"FS0948","20-Apr-1999","Easter Score Holms ","HU355436","Shetland","Yes","Gremista","Lerwick","","ZE1 0PX","","Fish","Seawater","Medium","435500","1143600","3a - SW Shetland mainland","Shetland","Scottish Sea Farms Ltd","Lumpsucker, Atlantic Salmon, Wrasse, N/A"
"SS0819","30-Jun-2010","Easterdale","HU382353","Shetland","Yes","Sained","Eastvoe, Scalloway","","ZE1 0US","","Shellfish","Seawater","Medium","438200","1135300","3a - SW Shetland mainland","Shetland","Eastvoe Shellfish","N/A, Common mussel"
"SS0085","01-Dec-1985","Eilean Ard","NC184506","Highland","No","N/A","","","","","Shellfish","Seawater","Medium","218400","950600","9b - Laxford","Highland","Loch Laxford Shellfish Ltd.","N/A, Common mussel"
"SS0657","07-Mar-2002","Eilean Buidhe","NM731792","Highland","Yes","Roshven","Lochailort","Lochaber","-","","Shellfish","Seawater","Low","173100","779200","15c - Ailort","Highland","Arisaig Mussels","Common mussel, N/A"
"FS0777","01-Apr-1992","Eilean Coltair","NM803128","Argyll and Bute","No","Kilmelford","","Argyll","PA34 4XA","","Fish","Seawater","Medium","180300","712800","16d - Seil Sound to Loch Craignish","Strathclyde","Kames Fish Farming Ltd","Rainbow Trout, N/A"
"SS0744","23-Aug-2005","Eilean Dubh - Loch Ailort","NM746816","Highland","Yes","Loch Ailort","West Locharber","","-","","Shellfish","Seawater","Low","174600","781600","15c - Ailort","Highland","Arisaig Mussels","Common mussel, N/A"
"FS0092","28-Sep-1988","Eilean Fada Loch Coalisport","NR754762","Argyll and Bute","No","N/A","","","","","Fish","Seawater","","175400","676200","","Strathclyde","Landcatch Natural Selection Ltd","N/A, Atlantic Salmon"
"FS1176","23-Mar-2010","Eilean Grianain","NR816412","Argyll and Bute","Yes","Mowi Scotland Ltd","The Red Shed","Carradale Argyll","PA28 6SB","","Fish","Seawater","Low","181600","641200","19c - E Kintyre","Strathclyde","Mowi Scotland Ltd","Lumpsucker, N/A, Atlantic Salmon, Wrasse"
"SS0544","22-Nov-1995","Eilean Liath","NM475391","Argyll and Bute","Yes","Pairc Dubh","Ulva Ferry","","PA73 6LY","","Shellfish","Seawater","Low","147500","739100","16a - Tuath, na Keal","Strathclyde","Rangequest Oysters","Pacific Oyster, N/A"
"SS0655","20-Nov-2001","Eilean Mhic Eachain","NF785277","Western Isles","Yes","7 Bornish","South Uist","","HS8 5SA","","Shellfish","Seawater","Low","78500","827700","7b - South Uist","Western Isles","Hebridean Oysters","N/A, Common mussel"
"SS0553","01-May-1997","Eilean Nam Meann","NM876455","Argyll and Bute","Yes","The Ferry House","Easdale Island","Oban, Argyll","PA34 4TB","","Shellfish","Seawater","Medium","187600","745500","15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart","Strathclyde","Lismore Shellfish","Pacific Oyster, N/A"
"SS0739","13-Jul-2005","Eilean Righ","NM812028","Argyll and Bute","No","N/A","","","","","Shellfish","Seawater","Low","181200","702800","","Strathclyde","O-Fish-Shell Ltd","Common mussel, N/A"
"SS0753","11-Oct-2005","Eilean Theinish","NB118347","Western Isles","Yes","West Earshader","Bernera","","HS2 9LP","","Shellfish","Seawater","Medium","111800","934700","6a - Loch Roag","Western Isles","Loch Fyne Oysters Ltd","Common mussel, N/A"
"SS0884","03-Sep-2014","Eilean an Atha","NM749075","Argyll and Bute","Yes","Ardlarach House","Blackmill Bay, Toberonochy","","PA34 4TZ","","Shellfish","Seawater","Low","174900","707500","16d - Seil Sound to Loch Craignish","Highland","Sound of Luing Bivalve Seafarm Ltd","Pacific Oyster, N/A"
"SS0829","24-Feb-2011","Eilean an Eireannich","NC206504","Highland","Yes","78 Ardmore","Rhiconich","Lairg Sutherland","IV27 4RB","","Shellfish","Seawater","Medium","220600","950400","9b - Laxford","Highland","John Ridgway Productions Ltd","N/A, Common mussel"
"SS0939","03-Dec-2020","Eilean mo Shlinneag","NM726620","Highland","Yes","Garvan Glen","Garvan","","PH33 7AW","","Shellfish","Seawater","Medium","172600","762000","Not in a management area","Highland","Fass Fern Mussels","N/A, Common mussel"
"SS0752","11-Oct-2005","Eilean nam Feannag","NB142338","Western Isles","Yes","West Earshader","Bernera","","HS2 9LP","","Shellfish","Seawater","Medium","114200","933800","6a - Loch Roag","Western Isles","Loch Fyne Oysters Ltd","Common mussel, N/A"
"FS0704","23-Mar-1993","Eishken","NB320103","Western Isles","No","N/A","","","","","Fish","Seawater","","132000","910300","","Western Isles","Mowi Scotland Ltd","Atlantic Salmon, N/A"
"FS0058","10-Aug-1979","Elphin Smolt Unit","NC209121","Highland","No","Elphin","Via Lairg","Sutherland","-","","Fish","Freshwater","Low","220900","912100","Not in a management area","Highland","Wester Ross Fisheries Ltd","Atlantic Salmon, N/A, Brown Trout and sea trout"
"SS0959","09-May-2022","Erisort West","NB306203","Western Isles","New","N/A","","","","","Shellfish","Seawater","Medium","130600","920300","5a - E Lewis","Western Isles","Western Isles Mussels","N/A, Common mussel"
"FS1101","09-Jan-2007","Etive 3 (Port na Mine)","NN033331","Argyll and Bute","Yes","Loch Etive Trout Farm","Inverawe","","PA35 1HU","","Fish","Seawater","High","203300","733100","15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart","Strathclyde","Dawnfresh Farming Ltd","N/A, Rainbow Trout"
"FS1112","27-Jun-2008","Etive 4","NM991340","Argyll and Bute","Yes","Loch Etive Trout Farm","Inverawe","","PA35 1HU","","Fish","Seawater","Medium","199100","734000","15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart","Strathclyde","Dawnfresh Farming Ltd","N/A, Rainbow Trout"
"FS1288","18-Jun-2014","Etive 6","NM983341","Argyll and Bute","Yes","Loch Etive Trout Farm","Inverawe","","PA35 1HU","","Fish","Seawater","Medium","198300","734100","15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart","Strathclyde","Dawnfresh Farming Ltd","Rainbow Trout, N/A"
"FS1233","28-Apr-2011","Eughlam","NB162389","Western Isles","Yes","Breasclete Pier","Breasclete","","HS2 9ED","","Fish","Seawater","Medium","116200","938900","6a - Loch Roag","Western Isles","Bakkafrost Scotland","Lumpsucker, Wrasse, Atlantic Salmon, N/A"
"FS0842","31-Mar-1999","Evanachan Broodstock","NR944866","Argyll and Bute","No","N/A","","","","","Fish","Seawater","Low","194400","686600","","Strathclyde","Otter Ferry Seafish  Ltd","N/A, Halibut"
"FS0843","31-Mar-1999","Evanachan Marine Hatchery","NR945866","Argyll and Bute","Yes","Otter Ferry","Argyll","Argyll","PA21 2DH","","Fish","Seawater","Medium","194500","686600","19a - Fyne","Strathclyde","Otter Ferry Seafish  Ltd","Wrasse, Halibut, N/A, Lumpsucker"
"FS0001","31-Mar-1999","Evanachan Salt Water","NR945867","Argyll and Bute","Yes","Otter Ferry","Argyll","Argyll","PA21 2DH","","Fish","Seawater","High","194500","686700","19a - Fyne","Strathclyde","Otter Ferry Seafish  Ltd","N/A, Lumpsucker, Atlantic Salmon, Halibut, Wrasse"
"FS0858","20-Feb-1998","Fada","NB976076","Highland","Yes","Summer Isles","By Ullapool","Wester Ross","IV26 2YN","","Fish","Seawater","Medium","197600","907600","10b - Loch Broom","Highland","Scottish Sea Farms Ltd","Wrasse, N/A, Atlantic Salmon, Lumpsucker"
"SS0490","04-Aug-1992","Faingmor Bay","NG730604","Highland","Yes","Fearnmore ","Loch Torridon","","-","","Shellfish","Seawater","Low","173000","860400","11a - Torridon","Highland","Fearnmore Shellfish","King scallop, N/A"
"SS0951","11-Feb-2021","Fairlie Quay Marina","NS206562","North Ayrshire","No","1 Allanton Park Terrace","Fairlie","North Ayrshire","KA29 0AW","","Shellfish","Seawater","High","220600","656200","Not in a management area","Strathclyde","Clyde Porpoise CIC","N/A, Flat or native oyster"
"FS1017","20-Feb-2001","Fara West","ND321953","Orkney","Yes","Lyness","Hoy","Orkney","KW16 3NT","","Fish","Seawater","Medium","332100","995300","8c - Scapa Flow","Orkney","Cooke Aquaculture Scotland Ltd","Lumpsucker, N/A, Atlantic Salmon"
"SS0759","02-May-2006","Fearna","NS060805","Argyll and Bute","Yes","The Point Ardtaraig Estate","Loch Striven","Argyll","PA23 8RG","","Shellfish","Seawater","Medium","206000","680500","19b - Kyles of Bute","Strathclyde","Loch Striven Mussel Farms Ltd","N/A, Common mussel"
"SS0826","15-Dec-2010","Firth of Forth Lobster Hatchery","NT554856","East Lothian","Yes","North Berwick Harbour","","","EH39 4SS","","Shellfish","Seawater","Low","355400","685600","Not in a management area","Lothian","The Firth of Forth Lobster Hatchery","N/A, European lobster"
"FS1045","27-Aug-2002","Fish Holm","HU485737","Shetland","No","N/A","","","","","Fish","Seawater","High","448500","1173700","","Shetland","Scottish Sea Farms Ltd","N/A, Atlantic Salmon"
"FS0427","01-Jan-1988","Fishnish (A)","NM638425","Argyll and Bute","Yes","Fishnish","Isle of Mull","Argyll","-","","Fish","Seawater","Medium","163800","742500","15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart","Strathclyde","Scottish Sea Farms Ltd","Lumpsucker, Atlantic Salmon, Wrasse, N/A"
"FS0694","19-Sep-1991","Fishnish (B)","NM652426","Argyll and Bute","Yes","Fishnish","Isle of Mull","Argyll","-","","Fish","Seawater","Medium","165200","742600","15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart","Strathclyde","Scottish Sea Farms Ltd","Wrasse, N/A, Atlantic Salmon, Lumpsucker"
"FS0696","19-Sep-1991","Fiunary","NM592476","Highland","Yes","South Shian","Connel","Oban, Argyll","PA37 1SB","","Fish","Seawater","Medium","159200","747600","15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart","Highland","Scottish Sea Farms Ltd","Wrasse, N/A, Lumpsucker, Atlantic Salmon"
"FS1028","21-Nov-2001","Fjords Processing","ND354949","Orkney","No","Flotta","Orkney","Orkney","KW16 3NP","","Fish","Freshwater and Seawater","Medium","335400","994900","8c - Scapa Flow","Orkney","Fjords Processing Ltd","Zebrafish, Sheepshead minnow, N/A, Turbot"
"FS1275","12-Sep-2013","Flaeshins","HU608943","Shetland","Yes","Uyeasound","Unst","","ZE2 9DL","","Fish","Seawater","Medium","460800","1194300","1b - S Unst, E Yell, Fetlar","Shetland","Cooke Aquaculture Scotland Ltd","Atlantic Salmon, N/A, Lumpsucker"
"FS0935","06-Nov-1998","Flotta","HU371464","Shetland","No","N/A","","","","","Fish","Seawater","High","437100","1146400","3a - SW Shetland mainland","Shetland","Scottish Sea Farms Ltd","Wrasse, N/A, Atlantic Salmon, Lumpsucker"
"FS0936","06-Nov-1998","Foreholm","HU355450","Shetland","No","West Banks","South Whiteness","","ZE2 9LL","","Fish","Seawater","Medium","435500","1145000","3a - SW Shetland mainland","Shetland","Scottish Sea Farms Ltd","Lumpsucker, Wrasse, N/A, Atlantic Salmon"
"FS0511","08-May-1990","Forgue","NJ622458","Aberdeenshire","Yes","Forgue Fish Farm","Inverkeithney","","AB5 47XD","","Fish","Freshwater","Medium","362200","845800","Not in a management area","Grampian","Forgue Fish Farm","Arctic Charr, Tiger trout, Brown Trout and sea trout, Brook charr/ trout, N/A, Rainbow Trout"
"FS0911","01-Jan-1998","Forrester's","NM542515","Argyll and Bute","No","N/A","","","","","Fish","Seawater","","154200","751500","","Strathclyde","Scottish Sea Farms Ltd","N/A, Atlantic Salmon"
"FS1329","15-Jan-2019","Forth Foods 1 Tilapia Rearing","NT562774","East Lothian","Yes","Markle Mains Farm","East Fortune","East Lothian","EH40 3EB","","Fish","Freshwater","Low","356200","677400","Not in a management area","Lothian","Forth Foods Ltd","Tilapia, N/A"
"SS0677","01-Aug-2002","Foulawick","HU375649","Shetland","Yes","Sparl","Brae","","ZE2 9QJ","","Shellfish","Seawater","High","437500","1164900","4a - South St Magnus Bay","Shetland","Blueshell Mussels Ltd","Common mussel, N/A"
"FS0551","14-Oct-1985","Frandy","NN947047","Perth and Kinross","Yes","Frandy Hatchery","Glen Devon","","FK14 7JZ","","Fish","Freshwater","Medium","294700","704700","Not in a management area","Tayside","Dawnfresh Farming Ltd","Rainbow Trout, N/A"
"SS0164","11-Dec-1985","Fuam an Tolla (Site 2)","NG205962","Western Isles","Yes","Lime Park","Scalpay","Western Isles","HS4 3XZ","","Shellfish","Seawater","Low","120500","896200","5b - SE Lewis, E Harris","Western Isles","Seaforth Mussels","N/A, Common mussel"
"FS0567","28-Feb-1995","Furnace","NN034001","Argyll and Bute","Yes","Furnace Quarry","Upper Loch Fyne","Furnace , Argyll","PA32 8YA","","Fish","Seawater","Medium","203400","700100","19a - Fyne","Strathclyde","Bakkafrost Scotland","Lumpsucker, Wrasse, N/A, Atlantic Salmon"
"FS0339","25-Sep-1991","Furnace (FW)","NS025999","Argyll and Bute","Yes","Furnace Hatchery","Argyll","","PA32 8XN","","Fish","Freshwater","High","202500","699900","Not in a management area","Strathclyde","Cooke Aquaculture (Freshwater) Ltd","N/A, Atlantic Salmon"
"SS0786","04-Sep-2007","Garbh Eilean","NB127321","Western Isles","No","11 Kneep","Uig","","HS2 9HS","","Shellfish","Seawater","Low","112700","932100","6a - Loch Roag","Western Isles","Uig Seafare Ltd","Common mussel, N/A"
"SS0874","06-Mar-2014","Garbh Lingeigh","NF739031","Western Isles","Yes","27a Eoligarry","","","HS9 5YD","","Shellfish","Seawater","High","73900","803100","7c - Barra","Western Isles","Traigh Mhor Oysters","Pacific Oyster, Flat or native oyster, N/A"
"SS0801","08-Sep-2008","Garvan","NM998778","Highland","Yes","Garvan Glen","Garvan","","PH33 7AW","","Shellfish","Seawater","Low","199800","777800","15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart","Highland","Fass Fern Mussels","Common mussel, N/A"
"FS1064","30-Jul-2003","Gasay Island","NF800186","Western Isles","No","N/A","","","","","Fish","Seawater","Low","80000","818600","","Western Isles","Mowi Scotland Ltd","N/A, Atlantic Salmon"
"FS0839","01-Aug-1994","Geasgill","NM435377","Argyll and Bute","Yes","Ulva Ferry","Argyll","Argyll","PA73 6LY","","Fish","Seawater","Medium","143500","737700","16a - Tuath, na Keal","Strathclyde","Bakkafrost Scotland","Lumpsucker, N/A, Wrasse, Atlantic Salmon"
"FS0885","28-Oct-1996","Geisgeil (Tank Site)","NC170410","Highland","Yes","Badcall Salmon House","Scourie, Lairg","Sutherland","IV27 4TH","","Fish","Freshwater","Low","217000","941000","Not in a management area","Highland","Loch Duart Ltd","Atlantic Salmon, N/A"
"FS0063","28-Oct-1996","Geisgeil Hatchery","NC171410","Highland","No","N/A","","","","","Fish","Freshwater","","217100","941000","","Highland","Loch Duart Ltd","N/A, Atlantic Salmon"
"FS1115","17-Jul-2008","Geo of Valladale","HU292771","Shetland","No","N/A","","","","","Fish","Seawater","Medium","429200","1177100","4c - N St Magnus Bay","Shetland","Scottish Sea Farms Ltd","Lumpsucker, N/A, Atlantic Salmon"
"FS0562","25-May-1993","Geocrab Hatchery","NG112905","Western Isles","Yes","Geocrab Mill","Geocrab","South Harris","HS3 3HB","","Fish","Freshwater","Medium","111200","890500","Not in a management area","Western Isles","Bakkafrost Scotland","Atlantic Salmon, N/A"
"FS1086","14-Dec-2004","Geocrab Incubation Hatchery","NG112906","Western Isles","No","Geocrab Mill","Geocrab","South Harris","HS3 3HB","","Fish","Freshwater","High","111200","890600","","Western Isles","Bakkafrost Scotland","N/A, Atlantic Salmon"
"FS0563","25-May-1993","Geocrab Seafarm","NG118902","Western Isles","No","N/A","","","","","Fish","Seawater","","111800","890200","","Western Isles","Bakkafrost Scotland","Atlantic Salmon, N/A"
"FS0883","01-Oct-1996","Ghlas Mhor","NC063162","Highland","No","N/A","","","","","Fish","Seawater","Low","206300","916200","","Highland","Finfish Ltd","Atlantic Salmon, N/A"
"FS0652","16-Jul-1991","Gibb Hatchery","NX399554","Dumfries and Galloway","No","Torhouse Trout Farm","Wigtown","","DG8 9DJ","","Fish","Freshwater","Low","239900","555400","Not in a management area","Dumfries & Galloway","Galloway Fisheries Trust","N/A, Atlantic Salmon, Brown Trout and sea trout, European Smelt (Sparling)"
"FS0504","17-Aug-1989","Girlsta Hatchery","HU431506","Shetland","Yes","Girlsta","","","ZE2 9SQ","","Fish","Freshwater","High","443100","1150600","Not in a management area","Shetland","Scottish Sea Farms Ltd","N/A, Atlantic Salmon"
"SS0687","29-Apr-2003","Glas Eilean (Linngeam)","NB138334","Western Isles","No","West Earshader","Bernera","","HS2 9LP","","Shellfish","Seawater","Medium","113800","933400","6a - Loch Roag","Western Isles","Loch Fyne Oysters Ltd","Common mussel, N/A"
"FS0945","09-Mar-1999","Glen Mor","NG859401","Highland","No","Glen Mor Estate","Lochcarron","Ross-shire","IV54 8XG","","Fish","Freshwater","Medium","185900","840100","Not in a management area","Highland","River Carron Restoration Project","N/A, Atlantic Salmon, Brown Trout and sea trout"
"FS0544","07-Jun-1990","Glen Orrin Fish Farm","NH504531","Highland","Yes","Orrin Bridge","Ross-shire","Ross-shire","IV6 7UL","","Fish","Freshwater","Low","250400","853100","Not in a management area","Highland","Glen Orrin Fish Farm","N/A, Rainbow Trout"
"FS0590","17-Aug-1989","Glenan Bay","NR918695","Argyll and Bute","Yes","Portavadie Fish Farm","Millhouse Tighnabruaich","Argyll","PA21 2DA","","Fish","Seawater","Medium","191800","669500","19a - Fyne","Strathclyde","Bakkafrost Scotland","Lumpsucker, Atlantic Salmon, N/A, Wrasse"
"FS0689","18-Sep-1991","Glencoul","NC245320","Highland","No","N/A","","","","","Fish","Seawater","","224500","932000","","Highland","Wester Ross Fisheries Ltd","N/A, Atlantic Salmon"
"FS0690","18-Sep-1991","Glencoul","NC023338","Highland","No","N/A","","","","","Fish","Seawater","","202300","933800","","Highland","Wester Ross Fisheries Ltd","Atlantic Salmon, N/A"
"FS1094","26-May-2006","Glencripesdale","NM678607","Highland","No","N/A","","","","","Fish","Seawater","Medium","167800","760700","","Highland","Mowi Scotland Ltd","Wrasse, Atlantic Salmon, N/A, Lumpsucker"
"FS0742","08-Jan-1992","Glenfinnan","NM887792","Highland","Yes","The Cottage","Guesachan Polloch Forestry Road","Inverness-shire","PH37 4LU","","Fish","Freshwater","Low","188700","779200","Not in a management area","Highland","Mowi Scotland Ltd","Atlantic Salmon, N/A"
"FS1320","31-Jul-2018","Glenforsa Hatchery","NM596426","Argyll and Bute","Yes","Glenforsa Estate","Glenforsa, Aros","","PA72 6JN","","Fish","Freshwater","Low","159600","742600","Not in a management area","Strathclyde","Benmore Estate Ltd","Atlantic Salmon, N/A"
"FS0134","18-Sep-1991","Glenkens","NX607907","Dumfries and Galloway","Yes","Dalry","Dumfries and Galloway","Dumfries and Galloway","DG7 3TB","","Fish","Freshwater","Low","260700","590700","Not in a management area","Dumfries & Galloway","Kames Fish Farming Ltd","N/A, Rainbow Trout"
"FS1124","02-Jun-2009","Glenkinglass","NN164380","Argyll and Bute","No","Glenkinglass Estate","by Taynuilt","Argyll","-","","Fish","Freshwater","N/A","216400","738000","Not in a management area","Strathclyde","Glenstrae Farmers","Brown Trout and sea trout, Atlantic Salmon, N/A"
"FS1099","24-Oct-2006","Gletness","HU466507","Shetland","Yes","Wadbister","Girlsta","","ZE2 9SQ","","Fish","Seawater","Low","446600","1150700","2b - SE Shetland mainland","Shetland","Scottish Sea Farms Ltd","N/A, Lumpsucker, Atlantic Salmon"
"SS0736","09-Jun-2005","Gob Glas","NB351205","Western Isles","Yes","10 Ranish","Lochs","","HS2 9NN","","Shellfish","Seawater","High","135100","920500","5a - E Lewis","Western Isles","Western Isles Mussels","Common mussel, N/A"
"SS0626","28-Feb-2001","Gob Sgrithir","NB122326","Western Isles","Yes","11 Kneep","Uig","","HS2 9HS","","Shellfish","Seawater","Low","112200","932600","6a - Loch Roag","Western Isles","Uig Seafare Ltd","N/A, Common mussel"
"FS0683","18-Sep-1991","Gob a Bharra","NR904768","Argyll and Bute","Yes","Stronachullin","Tarbert Road","ArdrIshaig, Argyll","PA30 8ET","","Fish","Seawater","Medium","190400","676800","19a - Fyne","Strathclyde","Bakkafrost Scotland","Lumpsucker, Atlantic Salmon, N/A, Wrasse"
"FS1175","23-Mar-2010","Gob na Hoe","NG189546","Highland","Yes","Dunvegan Pier","Dunvegan","Skye","IV55 8WF","","Fish","Seawater","Low","118900","854600","12b - Dunvegan","Highland","Loch Duart Ltd","Wrasse, N/A, Lumpsucker, Atlantic Salmon"
"FS1267","12-Nov-2012","Gometra","NM361424","Argyll and Bute","Yes","Ulva Ferry","Argyll","Argyll","PA73 6LY","","Fish","Seawater","Medium","136100","742400","16a - Tuath, na Keal","Strathclyde","Bakkafrost Scotland","Lumpsucker, N/A, Atlantic Salmon, Wrasse"
"SS0029","28-Oct-1985","Gometra Farm","NM353406","Argyll and Bute","No","Isle of Gometra,","Ulva Ferry,","Mull","-","","Shellfish","Seawater","Low","135300","740600","16a - Tuath, na Keal","Strathclyde","Gometra Farm","N/A, Pacific Oyster"
"SS0030","28-Oct-1985","Gometra Farm,  South  Harbour","NM371403","Argyll and Bute","No","Isle of Gometra,","Ulva Ferry,","Mull","-","","Shellfish","Seawater","Low","137100","740300","16a - Tuath, na Keal","Strathclyde","Gometra Farm","N/A, Pacific Oyster"
"FS0237","21-Oct-1985","Gorsten","NN061706","Highland","Yes","Gorsten","Ardgour","Fort William, Inverness-shire","PH33 7AH","","Fish","Seawater","High","206100","770600","15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart","Highland","Mowi Scotland Ltd","Wrasse, N/A, Lumpsucker, Atlantic Salmon"
"FS0998","17-Jul-2000","Gousam","NB111339","Western Isles","No","N/A","","","","","Fish","Seawater","Medium","111100","933900","6a - Loch Roag","Western Isles","Bakkafrost Scotland","Atlantic Salmon, Lumpsucker, N/A, Wrasse"
"FS0242","01-Jan-1989","Gravir","NB413146","Western Isles","Yes","Gravir","South Lochs","","HS2 9QX","","Fish","Seawater","Low","141300","914600","5a - E Lewis","Western Isles","Bakkafrost Scotland","Lumpsucker, Wrasse, N/A, Atlantic Salmon"
"FS1282","23-Dec-2013","Greanamul","NF884481","Western Isles","Yes","Loch A Laip","Western Isles","Western Isles","HS7 5QH","","Fish","Seawater","Medium","88400","848100","7a - Ronay, Benbecula, N South Uist","Western Isles","Bakkafrost Scotland","Lumpsucker, N/A, Atlantic Salmon, Wrasse"
"FS0304","01-Feb-1994","Greinam Island","NB202357","Western Isles","No","N/A","","","","","Fish","Seawater","Medium","120200","935700","","Western Isles","Bakkafrost Scotland","N/A, Atlantic Salmon"
